Crânio;Pele;TECIDO;Caixa;NROTR;NROCT;NROCAMPO;NROPUC;GENERO;ESPECIE;SEXO;PESO;HORAC;DIA;MES;ANO;NROLOCAL;LOCAL;BLOCOPOP;TERRENO;FORMACAO;S LATITUDE;W LONGITUDE;ALTITUDE;COLETORES;CORPOmm;CAUDAmm;PESEMGARRA;INCISIVO;PECOMGARRA;VAGINA;LEITE;ESTADOREPROD;2N;NF;TESTICULOS;COMPTESDIR;COMPTESESQ;DIATESDIR;DIATESESQ;NROEMB;UTERODIR;UTEROESQ;EMB1;EMB2;EMB3;EMB4;PESOCRSTAL;NRODIPLOI;NA;METAS;ACROS;PAR1;PAR2;BANDAG;BANDAC;DAPI;NOR;MITOSE;MEIOSE;COMSINAP;CHROMOMIC;COMPCRANIO;CCONDBASAL;COMPNASAL;LNASAL;LBIMEATAL;LBIZIGOMAT;LMASTOIDE;LFRONTAL;LROSTRAL;LCXCRANIAN;FORPORBITA;CCONDNASAL;DIASTEMA;CBULA;LBULA;LINCISIVO;COMPIVPMOL;CSMOLAR;LMANDIBULA;CPALATAL;ISQUION;CPUBIS;CILEUM;LPUBIS;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;Field1;GOT-1;GOT-2;AAT1;AAT2;LAP;PGI;IDH1;MDH1;MDH2;SOD;PGM1;PGM2;PGM3;ACP;ES-4;ES6;PGD;AL;TF;PT-1;PT-2;PT-3;HB;GLO-I;FIGADO;RIM;CORACAO;ESTÔMAGO;MUSCULO;PARASITAS;RECAPTURA1;RECAPTURA2;OBSERVAÇÕES
Dep. Genética;;caixa Thales 3;C, D;;TR.001;0000000;;Ctenomys;minutus;f;230;;11;7;1985;33;Praia da Jaguaruna;;Dunas;;0;0;0;Freitas & Oliveira;270;72;34;;40;+;;;;;;0;0;0;0;2;1;1;0;0;0;0;0;50;76;28;20;;;-;+;-;-;;-;;-;44,90;42,90;16,50; 6,20;26,40;28,00;26,40; 9,80;10,50;18,70;10,25;29,90;12,30;15,60; 7,45; 3,50; 3,70; 9,65;30,90;19,70;10.55;18.7;25.5;1.6;5.5;14.2;12.2;13.8;16;24;25.4;25.9;30.4;33.6;;;;b;c;a;b;a;c;b;;a;b;;b;;b;;;;;;;;;+;+;+;;;;;;
Dep. Genética;;caixa 11;H, L;;TR.002;0000000;;Ctenomys;minutus;f;160;;11;7;1985;33;Praia de Jaguaruna;;Dunas;;0;0;0;Freitas & Oliveira;235;65;34;;38;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.012;49;76;29;18;;;+;+;-;-;;-;;-;42,05;40,60;14,50; 5,30;25,60;26,85;25,85; 9,00;10,05;17,70; 9,40;28,00;11,05;14,25; 7,60; 3,00; 3,60; 8,75;31,30;19,30;9;13.6;20.3;1.5;5.5;12.6;11;13.3;15.35;22.4;23.1;24.6;28.3;31.5;;;;b;c;b;b;a;b;c;;a;b;;b;;b;;;;;;;;;+;+;+;;+;;;;
;;caixa 11;B, C, H, L;;TR.003;0000000;;Ctenomys;minutus;f;200;;11;7;1985;33;Praia de Jaguaruna;;Dunas;;0;0;0;Freitas & Oliveira;265;70;31;;36;+;;;;;;0;0;0;0;2;1;1;0;0;0;0;0.02;49;76;29;18;;;-;+;-;-;;-;;-;43,00;40,80;16,25; 6,40;21,10;27,35;25,75; 9,15;12,00;17,60; 9,70;27,20;12,05;15,10; 6,85; 3,00; 3,75; 9,50;33,30;20,10;10.15;17.45;24.2;1.45;5.85;14.2;10.4;13.8;15.6;23.2;24.25;25.4;29.6;32.2;;;;b;c;c;b;a;b;c;;a;b;;b;;b;;;;;;;;;+;+;+;;+;;;;
Dep. Genética;;caixa 11;C, H, I, L;;TR.004;0000000;;Ctenomys;minutus;f;225;;11;7;1985;36;Jaguaruna;;Campo arenoso;;0;0;0;Freitas & Oliveira;262;68;33;;36;+;;;;;;0;0;0;0;2;1;1;0;0;0;0;0.017;50;76;28;20;;;-;+;-;-;;-;;-;45,45;43,30;16,40; 6,10;26,50;27,85;26,50; 9,35;10,75;18,20; 9,20;30,25;12,65;15,50; 7,00; 3,00; 3,70; 9,90;35,20;21,10;11.25;18.3;25;1.7;6;13.8;14.4;15;16.2;22.75;23.8;25;29.85;32.4;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;;+;;;;
Dep. Genética;;caixa 11;B, C, E;;TR.005;0000000;;Ctenomys;minutus;m;310;;11;7;1985;36;Jaguaruna;;Campo;;0;0;0;Freitas & Oliveira;286;79;38;;41;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.019;50;76;20;28;;;-;+;-;-;;+;;-;48,40;45,70;16,90; 6,65;28,60;29,40;25,65;10,60;12,35;18,15;10,95;31,15;14,85;15,90; 6,60; 3,55; 3,75; 9,35;35,80;23,15;12.55;16.5;21;2.3;6.65;16.12;10.5;14.4;16.3;25.6;26.8;29.25;33.35;35.5;;;;;;;;;;;;;;;;;;;;;;;;;;+;;+;;+;;;;
Dep. Genética;;caixa 11;C, H;;TR.006;0000000;;Ctenomys;minutus;m;280;;11;7;1985;36;Jaguaruna;;Campo;;0;0;0;Freitas & Oliveira;290;80;35;;40;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.023;50;75;27;21;;;+;+;-;-;;+;;-;51,60;48,30;17,30; 6,50;29,30;30,70;29,60;12,00;12,95;18,15;11,15;33,70;14,10;17,25; 7,70; 4,00; 4,00;10,25;38,85;23,80;12;13.25;28.05;2.9;7.05;15.95;16.7;16;18.1;27.2;29.3;29;34.4;36.6;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;;;;;;
Dep. Genética;;caixa 14;C, K;;TR.007;0000000;;Ctenomys;minutus;m;300;;11;7;;33;Praia de Jaguaruna;;Dunas;;0;0;0;Freitas & Oliveirara;273;70;34;;39;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.0195;49;76;29;18;;;-;+;-;-;;-;;-;48,75;47,50;19,30; 7,90;29,70;31,60;29,10;11,50;12,50;18,80;11,30;32,00;13,70;16,30; 7,30; 3,85; 4,10;10,00;35,60;23,50;12;17.2;25.2;2.6;7.3;11.7;16.3;16.1;0;25;0;28.35;34;37.25;;;;b;c;b;b;a;a;a;;a;b;;b;;c;;;;;;;;;+;+;+;;;;;;
Dep. Genética;;caixa 11;E, G;;TR.008;0000000;;Ctenomys;minutus;f;250;;11;7;1985;36;Jaguaruna;;Campo;;0;0;0;Freitas & Oliveirara;268;70;34;;38;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.017;50;77;29;19;;;-;-;-;-;;-;;-;44,60;42,70;16,10; 6,00;25,75;28,20;26,20; 9,55;11,10;17,60;10,00;29,90;11,30;15,55; 7,55; 3,05; 3,90; 9,70;34,20;20,30;11.95;18.05;25.05;2.15;5.9;13.65;11.75;14.45;16;23.2;24.25;25.25;29.65;31.55;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;;+;;;;
Dep. Genética;;;;;TR.009;0000000;;Ctenomys;lami;f;250;;0;8;1985;18;Coxilha das Lombas;D;Campo;Qbd1;2955;5030;30;Freitas & Oliveirara;275;83;34;;38;-;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.023;56;80;26;28;AA;MM;+;+;-;-;;-;;-;46,20;44,55;17,75; 6,65;26,65;27,55;25,90; 9,00;11,35;18,30; 9,75;30,60;13,95;15,10; 8,30; 2,90; 3,70; 9,85;34,90;22,40;0;0;0;0;5.6;14.25;12.7;14.35;16;24.3;0;25.3;30.5;32.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dep. Genética;;;;;TR.010;0000000;;Ctenomys;lami;f;0;;0;8;1985;18;Coxilha das Lombas;D;Campo;Qbd1;2955;5030;30;Freitas & Oliveira;280;81;35;;39;+;;;;;;0;0;0;0;3;2;1;0;0;0;0;0.024;0;0;0;0;;;-;-;-;-;;-;;-;46,80;45,20;17,85; 6,45;27,75;28,65;27,45; 9,90;11,25;18,50; 9,80;31,20;13,35;16,15; 8,50; 2,95; 4,15;10,05;36,05;21,70;11.35;19;25.25;1.85;6;14.35;12;15.2;17;24.8;25.25;26.1;31.6;34.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
